deviceId,x,y,z,recordTime
1,17,39,981,2024-08-16T07:58:58.886Z
1,17,38,979,2024-08-16T07:58:58.896Z
1,18,40,980,2024-08-16T07:58:58.906Z
1,17,41,980,2024-08-16T07:58:58.920Z
1,16,41,978,2024-08-16T07:58:58.929Z
1,16,39,980,2024-08-16T07:58:58.939Z
1,17,39,980,2024-08-16T07:58:58.949Z
1,16,39,980,2024-08-16T07:58:58.960Z
1,17,38,981,2024-08-16T07:58:58.969Z
1,17,39,979,2024-08-16T07:58:58.978Z
1,19,37,980,2024-08-16T07:58:58.989Z
1,18,40,979,2024-08-16T07:58:58.999Z
1,15,38,980,2024-08-16T07:58:59.009Z
1,17,39,982,2024-08-16T07:58:59.019Z
1,19,39,980,2024-08-16T07:58:59.029Z
1,16,39,979,2024-08-16T07:58:59.039Z
1,16,40,979,2024-08-16T07:58:59.049Z
1,17,40,980,2024-08-16T07:58:59.068Z
1,16,41,980,2024-08-16T07:58:59.072Z
1,17,40,980,2024-08-16T07:58:59.082Z
1,18,39,980,2024-08-16T07:58:59.120Z
1,17,39,980,2024-08-16T07:58:59.129Z
1,18,40,981,2024-08-16T07:58:59.139Z
1,16,39,980,2024-08-16T07:58:59.149Z
1,16,39,980,2024-08-16T07:58:59.160Z
1,18,37,978,2024-08-16T07:58:59.169Z
1,17,38,981,2024-08-16T07:58:59.179Z
1,17,39,980,2024-08-16T07:58:59.189Z
1,16,39,981,2024-08-16T07:58:59.208Z
1,18,39,979,2024-08-16T07:58:59.212Z
1,16,40,980,2024-08-16T07:58:59.221Z
1,16,42,979,2024-08-16T07:58:59.231Z
1,15,40,980,2024-08-16T07:58:59.241Z
1,16,40,980,2024-08-16T07:58:59.251Z
1,17,39,979,2024-08-16T07:58:59.261Z
1,17,40,978,2024-08-16T07:58:59.271Z
1,17,41,981,2024-08-16T07:58:59.281Z
1,16,40,979,2024-08-16T07:58:59.291Z
1,17,40,980,2024-08-16T07:58:59.301Z
1,17,38,979,2024-08-16T07:58:59.311Z
1,18,38,978,2024-08-16T07:58:59.321Z
1,17,38,980,2024-08-16T07:58:59.331Z
1,18,38,981,2024-08-16T07:58:59.341Z
1,18,40,980,2024-08-16T07:58:59.354Z
1,16,41,983,2024-08-16T07:58:59.364Z
1,17,40,979,2024-08-16T07:58:59.374Z
1,14,39,979,2024-08-16T07:58:59.384Z
1,19,40,978,2024-08-16T07:58:59.394Z
1,16,40,981,2024-08-16T07:58:59.404Z
1,17,40,979,2024-08-16T07:58:59.414Z
1,17,39,982,2024-08-16T07:58:59.424Z
1,17,39,980,2024-08-16T07:58:59.434Z
1,17,40,979,2024-08-16T07:58:59.444Z
1,17,37,979,2024-08-16T07:58:59.454Z
1,18,40,979,2024-08-16T07:58:59.464Z
1,17,41,979,2024-08-16T07:58:59.474Z
1,17,40,981,2024-08-16T07:58:59.522Z
1,18,39,980,2024-08-16T07:58:59.524Z
1,16,39,980,2024-08-16T07:58:59.534Z
1,17,39,979,2024-08-16T07:58:59.544Z
1,17,39,982,2024-08-16T07:58:59.554Z
1,17,39,979,2024-08-16T07:58:59.564Z
1,18,38,982,2024-08-16T07:58:59.574Z
1,17,39,978,2024-08-16T07:58:59.584Z
1,16,40,981,2024-08-16T07:58:59.594Z
1,18,40,977,2024-08-16T07:58:59.604Z
1,18,40,980,2024-08-16T07:58:59.614Z
1,18,40,979,2024-08-16T07:58:59.624Z
1,17,40,980,2024-08-16T07:58:59.649Z
1,16,40,979,2024-08-16T07:58:59.651Z
1,15,39,980,2024-08-16T07:58:59.662Z
1,16,39,978,2024-08-16T07:58:59.667Z
1,17,41,981,2024-08-16T07:58:59.681Z
1,17,40,978,2024-08-16T07:58:59.686Z
1,17,41,982,2024-08-16T07:58:59.698Z
1,17,39,977,2024-08-16T07:58:59.707Z
1,17,40,980,2024-08-16T07:58:59.720Z
1,16,38,978,2024-08-16T07:58:59.727Z
1,16,38,980,2024-08-16T07:58:59.737Z
1,16,39,980,2024-08-16T07:58:59.747Z
1,17,39,981,2024-08-16T07:58:59.757Z
1,16,38,979,2024-08-16T07:58:59.767Z
1,16,40,980,2024-08-16T07:58:59.784Z
1,16,40,979,2024-08-16T07:58:59.790Z
1,17,40,981,2024-08-16T07:58:59.800Z
1,17,41,980,2024-08-16T07:58:59.810Z
1,17,40,981,2024-08-16T07:58:59.819Z
1,17,39,979,2024-08-16T07:58:59.830Z
1,17,40,979,2024-08-16T07:58:59.839Z
1,17,41,982,2024-08-16T07:58:59.849Z
1,15,39,979,2024-08-16T07:58:59.860Z
1,18,39,979,2024-08-16T07:58:59.870Z
1,15,40,978,2024-08-16T07:58:59.880Z
1,17,39,980,2024-08-16T07:58:59.926Z
1,17,39,979,2024-08-16T07:58:59.930Z
1,17,41,983,2024-08-16T07:58:59.940Z
1,17,41,979,2024-08-16T07:58:59.950Z
1,15,40,978,2024-08-16T07:58:59.960Z
1,17,40,981,2024-08-16T07:58:59.970Z
1,18,40,980,2024-08-16T07:58:59.980Z
1,17,40,978,2024-08-16T07:58:59.990Z
1,17,40,979,2024-08-16T07:59:00.000Z
1,16,39,980,2024-08-16T07:59:00.010Z
1,18,38,980,2024-08-16T07:59:00.020Z
1,17,37,979,2024-08-16T07:59:00.030Z
1,17,39,982,2024-08-16T07:59:00.040Z
1,18,39,978,2024-08-16T07:59:00.050Z
1,16,40,981,2024-08-16T07:59:00.060Z
1,18,40,981,2024-08-16T07:59:00.074Z
1,16,40,980,2024-08-16T07:59:00.083Z
1,16,40,978,2024-08-16T07:59:00.093Z
1,16,40,981,2024-08-16T07:59:00.103Z
1,17,39,978,2024-08-16T07:59:00.113Z
1,18,39,982,2024-08-16T07:59:00.123Z
1,18,39,979,2024-08-16T07:59:00.133Z
1,16,39,980,2024-08-16T07:59:00.143Z
1,16,40,979,2024-08-16T07:59:00.153Z
1,16,38,979,2024-08-16T07:59:00.163Z
1,18,39,977,2024-08-16T07:59:00.173Z
1,16,38,980,2024-08-16T07:59:00.183Z
1,17,39,980,2024-08-16T07:59:00.193Z
1,16,38,981,2024-08-16T07:59:00.203Z
1,15,39,981,2024-08-16T07:59:00.216Z
1,15,40,982,2024-08-16T07:59:00.226Z
1,17,40,981,2024-08-16T07:59:00.235Z
1,17,40,982,2024-08-16T07:59:00.244Z
1,15,40,979,2024-08-16T07:59:00.255Z
1,17,40,977,2024-08-16T07:59:00.265Z
1,17,39,980,2024-08-16T07:59:00.275Z
1,15,38,981,2024-08-16T07:59:00.313Z
