deviceId,yaw,pitch,roll,recordTime
1,11,6,-2,2024-08-16T08:08:35.638Z
1,11,6,-2,2024-08-16T08:08:35.647Z
1,11,6,-1,2024-08-16T08:08:35.672Z
1,11,7,-2,2024-08-16T08:08:35.681Z
1,11,7,-2,2024-08-16T08:08:35.690Z
1,11,7,-3,2024-08-16T08:08:35.702Z
1,11,7,-3,2024-08-16T08:08:35.711Z
1,11,7,-4,2024-08-16T08:08:35.721Z
1,11,8,-4,2024-08-16T08:08:35.730Z
1,11,8,-4,2024-08-16T08:08:35.741Z
1,11,8,-4,2024-08-16T08:08:35.751Z
1,11,8,-4,2024-08-16T08:08:35.761Z
1,11,8,-4,2024-08-16T08:08:35.770Z
1,10,8,-5,2024-08-16T08:08:35.780Z
1,10,8,-5,2024-08-16T08:08:35.790Z
1,10,8,-5,2024-08-16T08:08:35.802Z
1,10,7,-5,2024-08-16T08:08:35.815Z
1,10,7,-5,2024-08-16T08:08:35.824Z
1,11,7,-4,2024-08-16T08:08:35.834Z
1,11,7,-4,2024-08-16T08:08:35.843Z
1,10,7,-4,2024-08-16T08:08:35.854Z
1,10,7,-5,2024-08-16T08:08:35.864Z
1,10,7,-5,2024-08-16T08:08:35.873Z
1,10,6,-6,2024-08-16T08:08:35.883Z
1,10,6,-6,2024-08-16T08:08:35.894Z
1,10,6,-6,2024-08-16T08:08:35.904Z
1,10,6,-6,2024-08-16T08:08:35.913Z
1,10,5,-6,2024-08-16T08:08:35.924Z
1,10,5,-5,2024-08-16T08:08:35.933Z
1,10,5,-5,2024-08-16T08:08:35.944Z
1,10,5,-6,2024-08-16T08:08:35.959Z
1,10,5,-6,2024-08-16T08:08:35.967Z
1,10,5,-6,2024-08-16T08:08:36.005Z
1,10,5,-5,2024-08-16T08:08:36.014Z
1,10,5,-5,2024-08-16T08:08:36.023Z
1,10,5,-4,2024-08-16T08:08:36.034Z
1,10,5,-4,2024-08-16T08:08:36.044Z
1,10,5,-4,2024-08-16T08:08:36.054Z
1,10,5,-3,2024-08-16T08:08:36.064Z
1,10,6,-3,2024-08-16T08:08:36.074Z
1,10,6,-3,2024-08-16T08:08:36.084Z
1,10,6,-3,2024-08-16T08:08:36.100Z
1,10,6,-2,2024-08-16T08:08:36.107Z
1,10,6,-2,2024-08-16T08:08:36.117Z
1,10,7,-2,2024-08-16T08:08:36.127Z
1,10,7,-3,2024-08-16T08:08:36.136Z
1,10,7,-3,2024-08-16T08:08:36.147Z
1,10,7,-4,2024-08-16T08:08:36.156Z
1,10,7,-4,2024-08-16T08:08:36.167Z
1,10,7,-4,2024-08-16T08:08:36.176Z
1,10,7,-5,2024-08-16T08:08:36.186Z
1,10,6,-5,2024-08-16T08:08:36.197Z
1,10,6,-5,2024-08-16T08:08:36.207Z
1,10,6,-6,2024-08-16T08:08:36.216Z
1,10,6,-6,2024-08-16T08:08:36.227Z
1,10,6,-6,2024-08-16T08:08:36.246Z
1,10,6,-6,2024-08-16T08:08:36.252Z
1,10,6,-6,2024-08-16T08:08:36.261Z
1,10,6,-6,2024-08-16T08:08:36.272Z
1,10,5,-6,2024-08-16T08:08:36.281Z
1,10,5,-6,2024-08-16T08:08:36.292Z
1,10,5,-5,2024-08-16T08:08:36.301Z
1,10,6,-6,2024-08-16T08:08:36.311Z
1,10,5,-6,2024-08-16T08:08:36.322Z
1,10,5,-6,2024-08-16T08:08:36.332Z
1,10,5,-6,2024-08-16T08:08:36.342Z
1,10,5,-5,2024-08-16T08:08:36.352Z
1,10,5,-5,2024-08-16T08:08:36.362Z
1,10,5,-4,2024-08-16T08:08:36.403Z
1,10,5,-4,2024-08-16T08:08:36.413Z
1,10,4,-4,2024-08-16T08:08:36.422Z
1,10,4,-4,2024-08-16T08:08:36.433Z
1,10,3,-4,2024-08-16T08:08:36.442Z
1,10,3,-4,2024-08-16T08:08:36.452Z
1,10,3,-4,2024-08-16T08:08:36.462Z
1,10,2,-4,2024-08-16T08:08:36.472Z
1,10,2,-4,2024-08-16T08:08:36.483Z
1,10,2,-4,2024-08-16T08:08:36.493Z
1,10,3,-4,2024-08-16T08:08:36.502Z
1,10,3,-4,2024-08-16T08:08:36.513Z
1,10,3,-4,2024-08-16T08:08:36.523Z
1,10,3,-3,2024-08-16T08:08:36.536Z
1,10,3,-3,2024-08-16T08:08:36.546Z
1,10,3,-3,2024-08-16T08:08:36.555Z
1,10,3,-3,2024-08-16T08:08:36.566Z
1,10,3,-2,2024-08-16T08:08:36.576Z
1,10,3,-2,2024-08-16T08:08:36.586Z
1,10,3,-2,2024-08-16T08:08:36.596Z
1,10,3,-2,2024-08-16T08:08:36.606Z
1,10,3,-3,2024-08-16T08:08:36.616Z
1,10,4,-3,2024-08-16T08:08:36.626Z
1,10,4,-2,2024-08-16T08:08:36.635Z
1,10,4,-3,2024-08-16T08:08:36.645Z
1,10,4,-3,2024-08-16T08:08:36.656Z
