deviceId,capacity,temperature,recordTime
1,100,30,2024-08-16T11:28:21.974Z
1,100,30,2024-08-16T11:28:22.973Z
1,100,30,2024-08-16T11:28:23.972Z
1,100,30,2024-08-16T11:28:24.973Z
1,100,30,2024-08-16T11:28:25.978Z
1,100,30,2024-08-16T11:28:26.982Z
1,100,30,2024-08-16T11:28:27.988Z
1,100,30,2024-08-16T11:28:28.993Z
1,100,30,2024-08-16T11:28:30.001Z
1,100,30,2024-08-16T11:28:31.005Z
1,100,30,2024-08-16T11:28:32.011Z
1,100,30,2024-08-16T11:28:33.010Z
1,100,30,2024-08-16T11:28:34.017Z
1,100,30,2024-08-16T11:28:35.021Z
1,100,30,2024-08-16T11:28:36.025Z
1,100,30,2024-08-16T11:28:37.029Z
1,100,30,2024-08-16T11:28:38.035Z
1,100,31,2024-08-16T11:28:39.039Z
1,100,30,2024-08-16T11:28:40.083Z
1,100,30,2024-08-16T11:28:41.079Z
1,100,30,2024-08-16T11:28:42.081Z
1,100,30,2024-08-16T11:28:43.089Z
1,100,30,2024-08-16T11:28:44.084Z
1,100,30,2024-08-16T11:28:45.091Z
1,100,30,2024-08-16T11:28:46.095Z
1,100,30,2024-08-16T11:28:47.102Z
1,100,30,2024-08-16T11:28:48.105Z
1,100,30,2024-08-16T11:28:49.110Z
1,100,30,2024-08-16T11:28:50.113Z
1,100,30,2024-08-16T11:28:51.120Z
1,100,30,2024-08-16T11:28:52.120Z
1,100,30,2024-08-16T11:28:53.125Z
1,100,30,2024-08-16T11:28:54.130Z
1,100,30,2024-08-16T11:28:55.136Z
1,100,30,2024-08-16T11:28:56.135Z
1,100,30,2024-08-16T11:28:57.140Z
1,100,30,2024-08-16T11:28:58.149Z
1,100,30,2024-08-16T11:28:59.144Z
1,100,30,2024-08-16T11:29:00.148Z
1,100,30,2024-08-16T11:29:01.153Z
1,100,30,2024-08-16T11:29:02.157Z
1,100,30,2024-08-16T11:29:03.197Z
1,100,30,2024-08-16T11:29:04.194Z
1,100,30,2024-08-16T11:29:05.197Z
1,100,30,2024-08-16T11:29:06.203Z
1,100,30,2024-08-16T11:29:07.203Z
1,100,30,2024-08-16T11:29:08.211Z
1,100,30,2024-08-16T11:29:09.215Z
1,100,30,2024-08-16T11:29:10.218Z
1,100,30,2024-08-16T11:29:11.221Z
1,100,30,2024-08-16T11:29:12.228Z
1,100,30,2024-08-16T11:29:13.237Z
1,100,30,2024-08-16T11:29:14.244Z
1,100,30,2024-08-16T11:29:15.235Z
1,100,30,2024-08-16T11:29:16.239Z
1,100,30,2024-08-16T11:29:17.241Z
1,100,30,2024-08-16T11:29:18.246Z
1,100,30,2024-08-16T11:29:19.246Z
1,100,31,2024-08-16T11:29:20.254Z
1,100,30,2024-08-16T11:29:21.257Z
1,100,30,2024-08-16T11:29:22.264Z
1,100,30,2024-08-16T11:29:23.268Z
1,100,30,2024-08-16T11:29:24.275Z
1,100,30,2024-08-16T11:29:25.278Z
1,100,30,2024-08-16T11:29:26.322Z
1,100,30,2024-08-16T11:29:27.320Z
1,100,30,2024-08-16T11:29:28.323Z
1,100,30,2024-08-16T11:29:29.329Z
1,100,30,2024-08-16T11:29:30.330Z
1,100,30,2024-08-16T11:29:31.338Z
1,100,30,2024-08-16T11:29:32.341Z
1,100,30,2024-08-16T11:29:33.347Z
1,100,30,2024-08-16T11:29:34.348Z
1,100,30,2024-08-16T11:29:35.353Z
1,100,30,2024-08-16T11:29:36.357Z
1,100,30,2024-08-16T11:29:37.362Z
1,100,30,2024-08-16T11:29:38.364Z
1,100,30,2024-08-16T11:29:39.370Z
1,100,30,2024-08-16T11:29:40.373Z
1,100,30,2024-08-16T11:29:41.379Z
1,100,30,2024-08-16T11:29:42.381Z
1,100,30,2024-08-16T11:29:43.387Z
1,100,30,2024-08-16T11:29:44.389Z
1,100,30,2024-08-16T11:29:45.393Z
1,100,30,2024-08-16T11:29:46.397Z
1,100,30,2024-08-16T11:29:47.404Z
1,100,30,2024-08-16T11:29:48.404Z
1,100,30,2024-08-16T11:29:49.437Z
1,100,30,2024-08-16T11:29:50.433Z
1,100,30,2024-08-16T11:29:51.437Z
1,100,30,2024-08-16T11:29:52.445Z
1,100,30,2024-08-16T11:29:53.447Z
1,100,30,2024-08-16T11:29:54.453Z
1,100,30,2024-08-16T11:29:55.454Z
1,100,30,2024-08-16T11:29:56.457Z
